symbol,name,market_cap,last_price,avg_daily_volume_value,sector,industry
MASFIN.NS,MAS Financial Services Limited,53891653632,297.0,42910210.29596253,Financial Services,Credit Services
BALUFORGE.NS,Balu Forge Industries Limited,53125677056,450.45,474001042.93859357,Industrials,Metal Fabrication
GREENLAM.NS,Greenlam Industries Limited,53034369024,207.26,5440542.891356405,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
DBREALTY.NS,Valor Estate Limited,52776181760,97.3,324475228.1633573,Real Estate,Real Estate - Development
NEPHROPLUS.NS,Nephrocare Health Services Limited,52774203392,525.95,104032849.4627421,Healthcare,Medical Care Facilities
MHRIL.NS,Mahindra Holidays & Resorts India Limited,52759105536,261.0,24793695.83389079,Consumer Cyclical,Resorts & Casinos
PICCADIL.NS,Piccadily Agro Industries Limited,52729606144,534.5,91638574.35325724,Consumer Defensive,Beverages - Wineries & Distilleries
AJAXENGG.NS,Ajax Engineering Limited,52598525952,459.75,48883546.8492218,Industrials,Farm & Heavy Construction Machinery
KRN.NS,KRN Heat Exchanger and Refrigeration Limited,52528541696,845.1,2358660488.959172,Technology,Electronic Components
WAKEFIT.NS,Wakefit Innovations Limited,51962490880,158.99,178566676.823791,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
ETHOSLTD.NS,Ethos Limited,51877814272,1938.8,73148144.95972086,Consumer Cyclical,Luxury Goods
SAPPHIRE.NS,Sapphire Foods India Limited,51835211776,161.1,173113325.98652598,Consumer Cyclical,Restaurants
MOIL.NS,MOIL Limited,51746291712,254.3,232742624.7486084,Basic Materials,Other Industrial Metals & Mining
SKYGOLD.NS,SKY GOLD AND DIAMONDS LIMITED,51511054336,332.6,482720509.22395426,Consumer Cyclical,Luxury Goods
PRECWIRE.NS,Precision Wires India Limited,51509583872,281.65,587096920.5806788,Industrials,Electrical Equipment & Parts
FIEMIND.NS,Fiem Industries Limited,51402297344,1953.0,180134418.16363117,Consumer Cyclical,Auto Parts
PARAS.NS,Paras Defence and Space Technologies Limited,50778075136,630.1,1694921609.4246378,Industrials,Aerospace & Defense
ARVINDFASN.NS,Arvind Fashions Limited,50453405696,376.75,78828291.49582113,Consumer Cyclical,Apparel Manufacturing
ICRA.NS,ICRA Limited,50427211776,5240.0,31323008.6,Financial Services,Financial Data & Stock Exchanges
AHLUCONT.NS,Ahluwalia Contracts (India) Limited,49875587072,744.55,98602565.35242513,Industrials,Engineering & Construction
MAPMYINDIA.NS,C.E. Info Systems Limited,49862381568,911.2,193778726.63789266,Technology,Software - Infrastructure
SJS.NS,S.J.S. Enterprises Limited,49537650688,1549.2,206410326.66888428,Consumer Cyclical,Auto Parts
CCAVENUE.NS,AvenuesAI Limited,48769085440,14.01,274032301.30254847,Technology,Software - Infrastructure
PNCINFRA.NS,PNC Infratech Limited,48470511616,188.94,100429209.29163462,Industrials,Engineering & Construction
GULFOILLUB.NS,Gulf Oil Lubricants India Limited,48268808192,977.1,45580676.82538452,Basic Materials,Specialty Chemicals
CMSINFO.NS,CMS Info Systems Limited,47943745536,292.3,171579185.757607,Industrials,Specialty Business Services
VIPIND.NS,VIP Industries Limited,47864233984,336.95,67993941.812147,Consumer Cyclical,Footwear & Accessories
RUSTOMJEE.NS,Keystone Realtors Limited,47804567552,378.7,48170209.07226969,Real Estate,Real Estate - Development
GANESHHOU.NS,GANESH HOUSING LIMITED,47714091008,572.2,36559436.26152954,Real Estate,Real Estate - Development
NETWORK18.NS,Network18 Media & Investments Limited,47662891008,30.86,114701526.28093866,Communication Services,Entertainment
SENCO.NS,Senco Gold Limited,47631044608,290.75,384712359.1071808,Consumer Cyclical,Luxury Goods
FEDFINA.NS,Fedbank Financial Services Limited,47348035584,126.5,113274597.88181356,Financial Services,Credit Services
PILANIINVS.NS,Pilani Investment and Industries Corporation Limited,47181074432,4261.2,8924189.099902343,Financial Services,Asset Management
JAMNAAUTO.NS,Jamna Auto Industries Limited,47165915136,118.0,784691918.521964,Consumer Cyclical,Auto Parts
PTC.NS,PTC India Limited,46801874944,158.11,214870379.08241373,Utilities,Utilities - Independent Power Producers
CARERATING.NS,CARE Ratings Limited,46744580096,1555.8,70361394.86941732,Financial Services,Financial Data & Stock Exchanges
SUPRIYA.NS,Supriya Lifescience Limited,46667948032,579.85,98128189.13125814,Healthcare,Biotechnology
AURIONPRO.NS,Aurionpro Solutions Limited,46528442368,842.7,239710182.601178,Technology,Software - Infrastructure
CRAMC.NS,Canara Robeco Asset Management Company Limited,46514114560,233.25,132617353.77027741,Financial Services,Asset Management
GOKULAGRO.NS,Gokul Agro Resources Limited,46405337088,157.26,55751717.73908284,Consumer Defensive,Packaged Foods
ASHAPURMIN.NS,Ashapura Minechem Limited,46401802240,485.75,499875244.3611053,Basic Materials,Other Industrial Metals & Mining
RALLIS.NS,Rallis India Limited,46089129984,237.0,150448846.12973532,Basic Materials,Agricultural Inputs
MASTEK.NS,Mastek Limited,45807869952,1477.8,189758748.479541,Technology,Information Technology Services
SUNTECK.NS,Sunteck Realty Limited,45807374336,311.95,52583065.73736776,Real Estate,Real Estate - Development
RAYMONDLSL.NS,Raymond Lifestyle Limited,45611405312,746.95,71431213.36142172,Consumer Cyclical,Apparel Manufacturing
CEIGALL.NS,Ceigall India Limited,45538869248,261.35,97983237.74477132,Industrials,Engineering & Construction
ICIL.NS,Indo Count Industries Limited,45285122048,228.65,313172397.6589035,Consumer Cyclical,Textile Manufacturing
TIIL.NS,Technocraft Industries (India) Limited,45220896768,1994.5,52080972.79777425,Industrials,Tools & Accessories
BANARISUG.NS,Bannari Amman Sugars Limited,45142921216,3600.0,2637652.9699869794,Consumer Defensive,Confectioners
LUMAXIND.NS,Lumax Industries Limited,44787863552,4787.5,362798591.06070966,Consumer Cyclical,Auto Parts
SURYAROSNI.NS,Surya Roshni Limited,44419346432,204.13,103101535.03639425,Basic Materials,Steel
SHARDAMOTR.NS,Sharda Motor Industries Limited,44416339968,773.7,39890137.290793866,Consumer Cyclical,Auto Parts
VRLLOG.NS,VRL Logistics Limited,44364021760,253.6,74084766.50413717,Industrials,Trucking
SAATVIKGL.NS,Saatvik Green Energy Limited,44315160576,348.65,63970996.444255576,Technology,Solar
ELECTCAST.NS,Electrosteel Castings Limited,43860193280,70.95,193859287.32808736,Industrials,Building Products & Equipment
JUNIPER.NS,Juniper Hotels Limited,43770671104,196.72,66676255.270124815,Consumer Cyclical,Lodging
JUSTDIAL.NS,Just Dial Limited,43743260672,514.25,117703201.8547994,Communication Services,Internet Content & Information
SMARTWORKS.NS,Smartworks Coworking Spaces Limited,43493859328,380.65,31071203.308531698,Real Estate,Real Estate Services
ENTERO.NS,Entero Healthcare Solutions Limited,43402158080,997.5,91883871.01213989,Healthcare,Medical Distribution
SUBROS.NS,Subros Limited,43287183360,663.55,42366455.97216797,Consumer Cyclical,Auto Parts
BAJAJCON.NS,Bajaj Consumer Care Limited,43267317760,331.25,354068097.000827,Consumer Defensive,Household & Personal Products
DHANUKA.NS,Dhanuka Agritech Limited,43248144384,959.4,49378736.208465576,Basic Materials,Agricultural Inputs
RESPONIND.NS,Responsive Industries Limited,43059945472,161.51,35713752.72401734,Basic Materials,Specialty Chemicals
VSTTILLERS.NS,V.S.T Tillers Tractors Limited,42689544192,4939.0,122336735.96666667,Industrials,Farm & Heavy Construction Machinery
SHILCTECH.NS,Shilchar Technologies Limited,42368782336,3703.5,164890491.0224528,Industrials,Electrical Equipment & Parts
SWARAJENG.NS,Swaraj Engines Limited,42270277632,3470.4,45772063.81625163,Consumer Cyclical,Auto Parts
PURVA.NS,Puravankara Limited,42018177024,177.18,146933376.52942303,Real Estate,Real Estate - Development
EBGNG.NS,GNG Electronics Limited,41996144640,368.35,100216355.6638204,Technology,Computer Hardware
BAJAJELEC.NS,Bajaj Electricals Limited,41940299776,362.75,134983068.4354665,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
GOKEX.NS,Gokaldas Exports Limited,41721098240,569.65,1404911038.7207193,Consumer Cyclical,Apparel Manufacturing
CHEMPLASTS.NS,Chemplast Sanmar Limited,41670529024,262.75,119938872.74755351,Basic Materials,Chemicals
MIDWESTLTD.NS,Midwest Limited,41541545984,1148.8,82132360.5894694,Basic Materials,Building Materials
IONEXCHANG.NS,ION Exchange (India) Limited,41280360448,335.45,122120950.85115255,Industrials,Pollution & Treatment Controls
UNIMECH.NS,Unimech Aerospace and Manufacturing Limited,41224589312,810.6,59988442.08326823,Industrials,Aerospace & Defense
JINDALPOLY.NS,Jindal Poly Films Limited,41095741440,938.55,527783581.73699033,Consumer Cyclical,Packaging & Containers
GHCL.NS,GHCL Limited,41002631168,446.0,52244417.34450887,Basic Materials,Chemicals
THOMASCOOK.NS,Thomas Cook  (India)  Limited,40995151872,88.0,104233201.49780172,Consumer Cyclical,Travel Services
VMART.NS,V-Mart Retail Limited,40936411136,512.4,64744297.23764648,Consumer Cyclical,Department Stores
INNOVACAP.NS,Innova Captab Limited,40850014208,713.85,18072103.453796387,Healthcare,Drug Manufacturers - Specialty & Generic
CAPILLARY.NS,Capillary Technologies India Limited,40849530880,515.05,92028621.69270325,Technology,Software - Infrastructure
DATAMATICS.NS,Datamatics Global Services Limited,40821829632,690.65,362068164.6035238,Technology,Information Technology Services
STYL.NS,Seshaasai Technologies Limited,40775065600,252.0,39592851.1228068,Technology,Software - Infrastructure
KSCL.NS,Kaveri Seed Company Limited,40547147776,799.05,142179804.7326416,Basic Materials,Agricultural Inputs
NIITMTS.NS,NIIT Learning Systems Limited,39634534400,288.95,32135359.425590005,Consumer Defensive,Education & Training Services
IFBIND.NS,IFB Industries Limited,39585009664,976.0,71620920.19689737,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
SWSOLAR.NS,Sterling and Wilson Renewable Energy Limited,39381487616,168.54,346756525.60717314,Technology,Solar
MBAPL.NS,Madhya Bharat Agro Products Limited,39375167488,449.35,144390383.1650299,Basic Materials,Agricultural Inputs
HCC.NS,Hindustan Construction Company Limited,39213436928,14.96,335928692.27179813,Industrials,Engineering & Construction
SIS.NS,SIS LIMITED,39193763840,277.3,40028759.15848694,Industrials,Security & Protection Services
CENTUM.NS,Centum Electronics Limited,39076294656,2644.6,301924885.3643066,Technology,Electronic Components
SKIPPER.NS,Skipper Limited,38963343360,345.0,138994402.67466736,Industrials,Engineering & Construction
GMMPFAUDLR.NS,GMM Pfaudler Limited,38386823168,853.35,81433909.37570395,Industrials,Specialty Industrial Machinery
TARC.NS,TARC Limited,38014308352,129.12,109246349.14165293,Real Estate,Real Estate - Development
RAIN.NS,Rain Industries Limited,37943152640,112.81,592201695.4824165,Basic Materials,Specialty Chemicals
SPARC.NS,Sun Pharma Advanced Research Company Limited,37797031936,116.47,102498556.25521775,Healthcare,Drug Manufacturers - Specialty & Generic
MANINFRA.NS,Man Infraconstruction Limited,37746855936,93.51,43870727.56518427,Industrials,Engineering & Construction
STYLAMIND.NS,Stylam Industries Limited,37529784320,2214.4,91698149.56735025,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
HEMIPROP.NS,Hemisphere Properties India Limited,37408362496,131.2,82317748.85841827,Real Estate,Real Estate - Diversified
SUNFLAG.NS,Sunflag Iron And Steel Company Limited,37309034496,207.02,32536215.709088136,Basic Materials,Steel
AGIIL.NS,Agi Infra Limited,37272035328,304.8,582898653.5885936,Real Estate,Real Estate - Development
JKIL.NS,J.Kumar Infraprojects Limited,37247823872,491.3,80215072.29169616,Industrials,Engineering & Construction
ITDC.NS,India Tourism Development Corporation Limited,37202477056,433.75,31593056.37172648,Consumer Cyclical,Lodging
EPIGRAL.NS,Epigral Limited,37146845184,861.05,78386764.94614054,Basic Materials,Chemicals
SINDHUTRAD.NS,Sindhu Trade Links Limited,37069156352,23.98,45608726.3365277,Industrials,Conglomerates
DELPHIFX.NS,DELPHI WORLD MONEY LIMITED,37047480320,10.01,28539393.298974577,Financial Services,Capital Markets
PDSL.NS,PDS Limited,37019406336,261.15,40827991.658483885,Industrials,Specialty Business Services
INDIGOPNTS.NS,Indigo Paints Limited,37015388160,776.4,102228699.08059286,Basic Materials,Specialty Chemicals
BANSALWIRE.NS,Bansal Wire Industries Limited,36930097152,235.7,15057896.329710389,Basic Materials,Steel
RTNINDIA.NS,RattanIndia Enterprises Limited,36786843648,26.64,105046789.37961216,Consumer Cyclical,Internet Retail
KMEW.NS,Knowledge Marine & Engineering Works Limited,36638109696,1494.3,199440565.1347819,Industrials,Marine Shipping
TEXRAIL.NS,Texmaco Rail & Engineering Limited,36499656704,89.69,320877259.7655108,Industrials,Railroads
MAHLOG.NS,Mahindra Logistics Limited,36449378304,367.35,135258980.83125508,Industrials,Integrated Freight & Logistics
JSFB.NS,Jana Small Finance Bank Limited,36437434368,346.05,248700375.9469177,Financial Services,Banks - Regional
VSTIND.NS,VST Industries Limited,36411195392,214.76,78860123.69429524,Consumer Defensive,Tobacco
ORIENTELEC.NS,Orient Electric Limited,35909292032,168.28,74646694.83341065,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
DBCORP.NS,D.B.Corp Limited,35876622336,201.28,11678618.01281077,Communication Services,Publishing
NORTHARC.NS,Northern Arc Capital Limited,35720478720,221.1,105269596.87421672,Financial Services,Credit Services
AVANTEL.NS,Avantel Limited,35541483520,133.76,174443088.1861455,Technology,Communication Equipment
RBA.NS,Restaurant Brands Asia Limited,35475431424,60.84,181357930.72008985,Consumer Cyclical,Restaurants
JTEKTINDIA.NS,Jtekt India Limited,35395842048,127.6,20264492.762179565,Consumer Cyclical,Auto Parts
NEOGEN.NS,Neogen Chemicals Limited,35335614464,1339.4,112367924.42316487,Basic Materials,Specialty Chemicals
FOSECOIND.NS,Foseco India Limited,35138789376,4639.0,29345475.75641276,Basic Materials,Chemicals
STYRENIX.NS,Styrenix Performance Materials Limited,35104624640,1995.0,61080062.901407875,Basic Materials,Chemicals
EMIL.NS,Electronics Mart India Limited,35085242368,91.19,125222000.42714462,Consumer Cyclical,Specialty Retail
PACEDIGITK.NS,Pace Digitek Limited,34974392320,162.03,162309354.46191457,Technology,Communication Equipment
INDRAMEDCO.NS,Indraprastha Medical Corporation Limited,34823892992,379.7,95225486.3632314,Healthcare,Medical Care Facilities
BOSCH-HCIL.NS,BOSCH HOME COMFORT INDIA LIMITED,34795106304,1275.0,16561903.683776855,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
SMSPHARMA.NS,SMS Pharmaceuticals Limited,34721488896,370.75,185088380.27284443,Healthcare,Drug Manufacturers - General
VAIBHAVGBL.NS,Vaibhav Global Limited,34688950272,207.74,199324603.0557602,Consumer Cyclical,Luxury Goods
SEAMECLTD.NS,Seamec Limited,34658238464,1358.4,90021421.13313802,Industrials,Marine Shipping
CRIZAC.NS,Crizac Limited,34209077248,195.5,47052006.50727539,Consumer Defensive,Education & Training Services
SHANTIGEAR.NS,Shanthi Gears Limited,34114904064,444.55,6714843.36829834,Industrials,Specialty Industrial Machinery
KNRCON.NS,KNR Constructions Limited,34081382400,121.17,214686755.5368754,Industrials,Engineering & Construction
HEIDELBERG.NS,HeidelbergCement India Limited,33843423232,149.0,15178943.887352498,Basic Materials,Building Materials
ZOTA.NS,Zota Health Care LImited,33760245760,1113.0,50422877.600472,Healthcare,Biotechnology
EMUDHRA.NS,eMudhra Limited,33703987200,411.05,96330072.21544088,Technology,Software - Application
GOODLUCK.NS,Goodluck India Limited,33668417536,1011.7,116384134.20236613,Basic Materials,Steel
SENORES.NS,Senores Pharmaceuticals Limited,33632933888,730.3,112486825.4160848,Healthcare,Drug Manufacturers - General
TRUALT.NS,TruAlt Bioenergy Limited,33506678784,390.35,82510857.95765482,Energy,Oil & Gas Refining & Marketing
GOPAL.NS,Gopal Snacks Limited,33505492992,268.8,26864577.089353435,Consumer Defensive,Packaged Foods
VADILALIND.NS,Vadilal Industries Limited,33434191872,4651.5,105710252.91442057,Consumer Defensive,Packaged Foods
NFL.NS,National Fertilizers Limited,33425106944,68.03,278839905.9170067,Basic Materials,Agricultural Inputs
OSWALPUMPS.NS,Oswal Pumps Limited,33258608640,291.8,332637569.2496531,Industrials,Electrical Equipment & Parts
SHOPERSTOP.NS,Shoppers Stop Limited,33145315328,301.0,38091789.780034386,Consumer Cyclical,Department Stores
VISHNU.NS,Vishnu Chemicals Limited,33102288896,491.75,33098576.217836507,Basic Materials,Specialty Chemicals
SAMHI.NS,Samhi Hotels Limited,32997322752,149.17,142840679.5233317,Consumer Cyclical,Lodging
RAMKY.NS,Ramky Infrastructure Limited,32955449344,476.25,428505725.7988342,Industrials,Engineering & Construction
AGI.NS,AGI Greenpac Limited,32943906816,509.2,126728982.62136027,Consumer Cyclical,Packaging & Containers
GOLDIAM.NS,Goldiam International Limited,32892964864,291.3,455131110.3317474,Consumer Cyclical,Luxury Goods
SANATHAN.NS,Sanathan Textiles Limited,32495560704,385.0,10080711.22502238,Consumer Cyclical,Textile Manufacturing
WONDERLA.NS,Wonderla Holidays Limited,32469219328,512.0,28396201.17858785,Consumer Cyclical,Leisure
BALAMINES.NS,Balaji Amines Limited,32413960192,1000.4,96914285.87191977,Basic Materials,Specialty Chemicals
LXCHEM.NS,Laxmi Organic Industries Limited,32406900736,116.93,89925118.89889807,Basic Materials,Specialty Chemicals
SUVEN.NS,Suven Life Sciences Limited,32327124992,139.37,52789530.563168846,Healthcare,Drug Manufacturers - Specialty & Generic
RSYSTEMS.NS,R Systems International Limited,32244998144,271.9,1383389697.7055767,Technology,Information Technology Services
ASHOKA.NS,Ashoka Buildcon Limited,32188065792,114.6,163793410.7685084,Industrials,Engineering & Construction
POCL.NS,Pondy Oxides & Chemicals Limited,32186929152,1053.0,222268435.21352133,Basic Materials,Specialty Chemicals
UFLEX.NS,UFLEX Limited,32130498560,443.6,15708022.026860556,Consumer Cyclical,Packaging & Containers
KITEX.NS,Kitex Garments Limited,32019177472,160.4,543726332.1993617,Consumer Cyclical,Apparel Manufacturing
GREAVESCOT.NS,Greaves Cotton Limited,31983169536,137.32,168243718.4537155,Industrials,Specialty Industrial Machinery
GRMOVER.NS,GRM Overseas Limited,31931695104,153.87,229035024.62373048,Consumer Defensive,Packaged Foods
MOSCHIP.NS,Moschip Technologies Limited,31800551424,164.8,352122668.5435994,Technology,Semiconductor Equipment & Materials
AEROFLEX.NS,Aeroflex Industries Limited,31752867840,239.77,603669411.2126725,Industrials,Metal Fabrication
HARSHA.NS,Harsha Engineers International Limited,31742085120,348.25,14184200.362329101,Industrials,Tools & Accessories
INDOTHAI.NS,Indo Thai Securities Limited,31646097408,247.2,192380324.04186198,Financial Services,Capital Markets
AARTIDRUGS.NS,Aarti Drugs Limited,31476056064,344.7,50504097.675953165,Healthcare,Drug Manufacturers - Specialty & Generic
HGINFRA.NS,H.G. Infra Engineering Limited,31292796928,479.75,238348801.6894755,Industrials,Engineering & Construction
GUJALKALI.NS,Gujarat Alkalies and Chemicals Limited,31273351168,425.6,14429795.127200317,Basic Materials,Chemicals
ROLEXRINGS.NS,Rolex Rings Limited,31212099584,114.61,155872834.124529,Industrials,Metal Fabrication
INDIQUBE.NS,Indiqube Spaces Limited,31097409536,146.71,7881314.129044596,Real Estate,Real Estate Services
FLAIR.NS,Flair Writing Industries Limited,31086366720,294.95,32725796.094262697,Industrials,Business Equipment & Supplies
ADVENZYMES.NS,Advanced Enzyme Technologies Limited,30925373440,276.3,47223717.43434753,Basic Materials,Specialty Chemicals
INDOSTAR.NS,IndoStar Capital Finance Limited,30853617664,191.0,34097472.00888418,Financial Services,Credit Services
RPGLIFE.NS,RPG Life Sciences Limited,30663333888,1854.0,14823053.106876628,Healthcare,Drug Manufacturers - Specialty & Generic
ANUP.NS,The Anup Engineering Limited,30324815872,1504.6,116728615.2575765,Industrials,Specialty Industrial Machinery
GUJTHEM.NS,Gujarat Themis Biosyn Limited,30276259840,277.35,19530843.438397218,Healthcare,Drug Manufacturers - Specialty & Generic
ARSSBL.NS,Anand Rathi Share and Stock Brokers Limited,30076755968,479.5,151739033.7739919,Financial Services,Financial Conglomerates
ASHIANA.NS,Ashiana Housing Limited,29956407296,298.0,130099658.72881775,Real Estate,Real Estate - Development
OPTIEMUS.NS,Optiemus Infracom Limited,29728481280,335.2,62495855.4082957,Technology,Electronics & Computer Distribution
RPEL.NS,Raghav Productivity Enhancers Limited,29590257664,644.5,21792855.068540446,Basic Materials,Chemicals
